@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
standing,9745,7127,10945,10974,10721
standing,9770,7241,10889,10974,10777
standing,9871,7318,10777,10861,10861
standing,9820,7376,10974,11088,10833
standing,9871,7241,10861,11145,10475
standing,9846,7376,10805,10945,10502
standing,9871,7357,10805,11145,10502
standing,9820,7357,10917,10917,10584
standing,9795,7435,10974,10889,10721
standing,9897,7357,10749,11145,10666
standing,9846,7396,10833,11031,10694
standing,9770,7299,10777,11031,10611
standing,9745,7396,10833,11059,10777
standing,9795,7279,10805,11002,10694
standing,9820,7241,10805,11059,10694
standing,9795,7279,10917,10777,10502
standing,9795,7222,10945,10889,10611
standing,9820,7203,10861,10945,10694
standing,9846,7299,10889,10833,10833
standing,9871,7299,10777,10917,10666
standing,9745,7165,10945,10917,10833
standing,9871,7184,10833,10945,10694
standing,9795,7299,10889,10777,10721
standing,9770,7299,10777,10945,10639
standing,9846,7203,10833,10945,10917
standing,9846,7357,10777,10917,10502
standing,9871,7318,10861,10945,10805
standing,9820,7241,10777,11031,10584
standing,9720,7279,10777,11059,10639
standing,9720,7357,10721,11088,10611
standing,9745,7241,10861,10777,10639
standing,9795,7260,10917,10889,10777
standing,9871,7279,10861,10889,10475
standing,9795,7299,10889,10974,10611
standing,9795,7357,10974,10889,10502
standing,9770,7260,10833,10945,10502
standing,9770,7318,10777,10889,10394
standing,9820,7299,10861,11002,10421
standing,9795,7337,10833,11203,10611
standing,9795,7318,10833,10861,10639
standing,9770,7337,10917,10974,10448
standing,9695,7318,10833,10889,10666
standing,9695,7203,10945,11174,10557
standing,9595,7299,10917,11059,10475
standing,9595,7279,11088,10805,10529
standing,9645,7222,10889,10721,10584
standing,9695,7165,11002,11145,10475
standing,9770,7184,10917,10749,10502
standing,9645,7184,10917,10917,10833
standing,9720,7318,10861,10917,10367
standing,9745,7165,10917,11002,10639
standing,9745,7279,10805,10777,10448
standing,9795,7279,10777,10974,10502
standing,9770,7203,10777,10749,10502
standing,9720,7260,10917,10805,10394
standing,9795,7165,11031,10777,10448
standing,9720,7203,10861,10917,10421
standing,9670,7184,10833,10917,10421
standing,9770,7184,10917,10805,10584
standing,9670,7241,10861,10945,10721
standing,9745,7260,10833,10749,10475
standing,9695,7184,10833,10917,10639
standing,9720,7146,10889,10917,10584
standing,9745,7165,10917,10639,10639
standing,9770,7127,10833,10917,10557
standing,9670,7165,10777,10917,10475
standing,9770,7146,10974,10749,10639
standing,9570,7260,10861,10805,10557
standing,9820,7337,11002,11031,10557
standing,9795,7184,10694,11002,10721
standing,9745,7241,10721,11002,10502
standing,9770,7279,10889,10749,10694
standing,9670,7146,10974,10777,10584
standing,9670,7318,11002,10833,10394
standing,9720,7260,10721,10861,10694
standing,9770,7357,10833,10805,10502
standing,9620,7474,10805,10889,10557
standing,9745,7396,10889,10917,10584
standing,9871,7673,10833,10833,10529
standing,9770,7474,10833,10945,10502
standing,9871,7435,10917,10861,10475
standing,9745,7357,10861,10805,10557
standing,9820,7337,10917,10945,10448
standing,9820,7357,10777,10805,10529
standing,9820,7376,10805,10861,10529
standing,9770,7396,10833,10749,10475
standing,9795,7396,10833,10861,10421
standing,9871,7222,10861,10833,10502
standing,9745,7357,10889,10974,10557
standing,9745,7376,10749,11002,10475
standing,9720,7260,10889,10749,10639
standing,9820,7337,10833,10805,10421
standing,9846,7222,10833,10721,10611
standing,9745,7318,10917,10889,10529
standing,10051,7299,10694,10749,10557
standing,9846,7241,10945,10777,10666
standing,9871,7260,10861,10945,10557
standing,9846,7146,10833,11059,10694
standing,9820,7222,10721,10889,10502
standing,9846,7203,10777,10777,10529
standing,9745,7241,10666,11002,10694
standing,10077,7241,10777,10666,10448
standing,9745,7184,10833,10945,10502
standing,9795,7203,10777,10889,10666
standing,9745,7146,10694,10805,10721
standing,9846,7337,10833,10694,10584
standing,9720,7260,10721,10945,10529
standing,9846,7318,10861,10833,10557
standing,9670,7222,10833,10805,10611
standing,9795,7165,10805,10945,10529
standing,9720,7127,10721,10833,10502
standing,9670,7203,10917,11088,10529
standing,9770,7108,10861,10861,10694
standing,9770,7222,10861,10861,10529
standing,9720,7241,10833,11002,10749
standing,9820,7146,10584,11059,10421
standing,9720,7165,10945,10475,10721
standing,9745,7070,10833,10889,10639
standing,9795,7127,10833,10974,10639
standing,9695,7165,10833,10805,10639
standing,9846,7184,10749,10974,10502
standing,9846,7051,10777,10974,10557
standing,9846,7203,10777,10833,10721
standing,9745,7222,10889,10889,10639
standing,9820,7260,10889,10749,10666
standing,9770,7357,10666,10889,10749
standing,9846,7357,11031,10945,10639
standing,9770,7260,10805,10749,10448
standing,9695,7318,10777,10917,10421
standing,9546,7357,10749,10749,10721
standing,9720,7318,10945,10974,10475
standing,9770,7260,10974,10805,10584
standing,9846,7108,10945,11002,10367
standing,9745,7241,10889,11002,10475
standing,9795,7241,10945,10833,10448
standing,9745,7241,10889,10945,10421
standing,9846,7299,10721,10749,10502
standing,9745,7357,10861,10833,10502
standing,9795,7435,10749,10974,10394
standing,9820,7613,10945,10749,10182
standing,9770,7694,10694,10889,10234
standing,9795,7673,10777,10917,10261
standing,9795,7714,10777,10833,10287
standing,9745,7694,10777,10889,10314
standing,9745,7653,10861,10889,10234
standing,9745,7633,10833,10861,10314
standing,9745,7613,10861,10861,10287
standing,9720,7553,10805,10861,10341
standing,9720,7494,10861,10889,10421
standing,9745,7474,10805,10833,10475
standing,9645,7415,10889,10945,10394
standing,9695,7474,10805,10917,10557
standing,9745,7318,10805,10805,10475
standing,9645,7337,10917,11031,10749
standing,9695,7337,10721,10974,10584
standing,9846,7318,10639,10833,10694
standing,9745,7299,10749,11059,10611
standing,9770,7241,10861,10889,10421
standing,9820,7279,10694,10974,10805
standing,9620,7241,10945,10833,10611
standing,9645,7127,10833,11059,10889
standing,9695,7203,10889,10889,10889
standing,9620,7032,10974,11059,10777
standing,9645,7014,10749,10833,10889
standing,9720,7108,10805,10749,10861
standing,9620,7070,10974,10861,10889
standing,9795,7184,10777,10945,10889
standing,9745,6995,10889,10889,10917
standing,9795,7127,10749,10805,10805
standing,9745,7070,10833,10805,10861
standing,9645,7032,11031,10805,10833
standing,9770,7014,10805,10917,10889
standing,9770,7014,10889,11002,10639
standing,9670,7184,10805,10694,10945
standing,9695,7146,10721,11117,10584
standing,9897,7146,10833,10889,10557
standing,9871,7070,10749,10889,10749
standing,9820,7165,10805,10749,10777
standing,9795,7146,10945,10639,10917
standing,9720,7203,10639,11031,10639
standing,9795,7070,10777,10917,10861
standing,9720,7032,10666,10721,10611
standing,9770,7203,10749,10749,10584
standing,9770,7203,10666,10833,10889
standing,9795,7165,10805,10974,10721
standing,9695,7165,10833,10974,10639
standing,9820,7203,10694,10777,10557
standing,9846,7184,10584,10889,10749
standing,9645,7357,10502,11117,10475
standing,9695,7299,10694,10861,10749
standing,9770,7260,10694,10805,10529
standing,9745,7279,10805,11002,10611
standing,9745,7299,10666,10889,10694
standing,9620,7299,10861,10833,10777
standing,9820,7299,10749,10777,10584
standing,9745,7241,10777,11117,10529
standing,9897,7241,10721,10889,10639
standing,9770,7222,10861,10974,10639
standing,9770,7260,10611,10889,10805
standing,9695,7241,10721,11002,10611
standing,9795,7241,10666,11031,10557
standing,9871,7203,10805,10805,10529
standing,9770,7127,10833,10889,10584
standing,9695,7203,10833,11002,10448
standing,9720,7127,10861,11002,10557
standing,9745,7222,10833,10749,10694
standing,9645,7165,10917,10889,10557
standing,9720,7165,10777,10945,10749
standing,9695,7127,10721,10805,10557
standing,9745,7165,10889,10833,10475
standing,9846,7070,10666,11031,10889
standing,9745,7222,10721,10805,10833
standing,9770,7146,10861,10917,10557
standing,9720,7146,10861,10889,10721
standing,9720,7260,10974,11117,10694
standing,9795,7127,10721,10721,10584
standing,9820,7279,10889,11031,10749
standing,9620,7299,10639,11117,10502
standing,9745,7184,10805,11002,10584
standing,9670,7146,10861,10945,10611
standing,9695,7222,10777,10861,10529
standing,9620,7279,10721,10833,10584
standing,9745,7299,10805,10694,10777
standing,9745,7146,11002,10666,10861
standing,9670,7222,10639,10945,10584
standing,9645,7184,10749,10721,10805
standing,9720,7184,10666,10974,10639
standing,9670,7165,10805,10917,10421
standing,9695,7222,10666,10833,10502
standing,9620,7260,10666,10777,10584
standing,9620,7260,10777,10889,10475
standing,9595,7260,10805,10777,10557
standing,9620,7241,10777,10917,10694
standing,9720,7241,10889,10861,10475
standing,9745,7260,10805,10833,10557
standing,9595,7222,10805,11002,10502
standing,9720,7241,10721,11031,10502
standing,9695,7318,10861,10805,10611
standing,9720,7318,10861,10777,10639
standing,9720,7318,10777,10805,10502
standing,9595,7260,10945,10749,10557
standing,9745,7299,10694,10721,10666
standing,9745,7318,10974,10974,10584
standing,9620,7165,10805,10861,10721
standing,9645,7089,10889,10777,10529
standing,9695,7241,10721,10861,10639
standing,9695,7299,10749,10861,10557
standing,9745,7260,10861,10721,10502
standing,9595,7357,10861,10974,10639
standing,9770,7337,10833,10861,10611
standing,9720,7184,10889,10861,10611
standing,9795,7299,10889,10945,10721
standing,9620,7222,10721,10777,10475
standing,9670,7241,10777,10777,10557
standing,9795,7279,10861,10945,10557
standing,9720,7260,10945,10777,10666
standing,9695,7376,10861,10777,10502
standing,9745,7357,10805,10833,10475
standing,9720,7279,10833,10889,10611
standing,9645,7396,10666,10974,10529
