@relation pose

@attribute name {question,exclamation,arm,anxious,vsign,tengu,standing}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10103,6145,9820,11497,9897
vsign,10182,6112,9695,11557,10025
vsign,10000,6162,9670,11617,9871
vsign,10025,6162,9720,11527,9948
vsign,10077,6129,9720,11708,9974
vsign,10103,6129,9695,11648,10025
vsign,10077,6129,9645,11830,9720
vsign,10000,6145,9720,11468,10051
vsign,10156,6129,9720,11617,10051
vsign,9974,6162,9645,11800,10077
vsign,10314,6162,9620,11769,10077
vsign,10182,6112,9720,11648,10156
vsign,10077,6145,9670,11739,10025
vsign,10103,6129,9820,11527,10051
vsign,10077,6145,9570,11708,10025
vsign,10208,6062,9645,11708,10156
vsign,10025,6129,9670,11678,10025
vsign,10077,6095,9745,11497,10077
vsign,10000,6145,9546,11769,9974
vsign,10025,6162,9620,11587,9974
vsign,10077,6095,9570,11892,10025
vsign,10103,6062,9820,11678,10000
vsign,10103,6145,9521,11739,9974
vsign,10000,6129,9720,11769,9897
vsign,9948,6095,9670,11861,9897
vsign,10103,6062,9871,11800,10000
vsign,10077,6129,9645,11769,9897
vsign,9974,6129,9695,11800,9871
vsign,10103,6095,9871,11648,9974
vsign,10156,6112,9770,11678,10077
vsign,9948,6145,9745,11678,9897
vsign,10103,6112,9846,11557,9897
vsign,10077,6112,9795,11587,9974
vsign,10103,6062,9820,11800,10000
vsign,10077,6129,9745,11769,9897
vsign,10025,6162,9745,11617,9897
vsign,10000,6145,9720,11587,9820
vsign,10025,6129,9720,11830,9948
vsign,10103,6112,9496,11830,10000
vsign,10129,6078,9795,11769,9974
vsign,10051,6078,9795,11497,10025
vsign,10000,6129,9595,11557,9974
vsign,10129,6112,9695,11861,9974
vsign,10077,6112,9645,11739,9974
vsign,10129,6078,9670,11769,9922
vsign,10077,6145,9670,11527,9871
vsign,10156,6129,9645,11617,9897
vsign,10077,6095,9770,11678,9897
vsign,10156,6078,9720,11769,10000
vsign,10025,6145,9695,11678,9820
vsign,9974,6129,9720,11648,9795
vsign,10077,6045,9820,11557,10000
vsign,10051,6145,9670,11769,10000
vsign,10103,6095,9795,11678,10025
vsign,10051,6129,9645,11648,9897
vsign,10000,6145,9770,11708,9897
vsign,10129,6129,9695,11800,9897
vsign,10182,6162,9620,11648,9948
vsign,9897,6179,9846,11617,9871
vsign,10051,6129,9720,11557,9948
vsign,10051,6095,9720,11708,9922
vsign,10025,6095,9745,11739,9974
vsign,10000,6145,9846,11739,9720
vsign,10129,6129,9595,11708,9922
vsign,10129,6145,9670,11648,9897
vsign,10129,6129,9720,11739,9922
vsign,10182,6145,9795,11739,9871
vsign,10025,6062,9795,11769,9820
vsign,10129,6062,9695,11769,9922
vsign,10129,6062,9795,11527,10000
vsign,10051,6095,9745,11587,9948
vsign,10000,6095,9820,11708,9974
vsign,10129,6062,9570,11800,9948
vsign,10077,6095,9645,11769,9871
vsign,10077,6095,9720,11769,9846
vsign,9974,6078,9695,11769,9897
vsign,10208,5995,9745,11739,10103
vsign,10025,6028,9820,11923,9871
vsign,10103,6078,9770,11923,10000
vsign,10156,5995,9846,11739,10025
vsign,10051,6045,9745,11892,9948
vsign,10051,6095,9546,11708,9897
vsign,10051,6062,9720,11739,9846
vsign,10103,6062,9670,11830,9948
vsign,10051,6062,9745,11648,9846
vsign,10077,6028,9795,11648,9871
vsign,10156,6062,9745,11678,9974
vsign,10208,6062,9720,11648,10051
vsign,10051,6145,9720,11769,9795
vsign,10077,6129,9620,11861,9846
vsign,10025,6162,9670,11708,9795
vsign,10025,6129,9770,11769,9770
vsign,10182,6129,9695,11954,9922
vsign,10314,6162,9645,11769,9897
vsign,10103,6112,9670,11557,9897
vsign,10103,6095,9695,11648,9770
vsign,10182,6129,9745,11617,9897
vsign,10129,6179,9745,11527,9922
vsign,10077,6179,9871,11527,9770
vsign,10129,6112,9795,11678,9871
vsign,10103,6145,9820,11678,9897
vsign,10077,6145,9846,11648,9871
vsign,10103,6230,9897,11678,9897
vsign,10156,6129,9745,11800,9974
vsign,10077,6196,9695,11648,9922
vsign,10077,6162,9695,11739,9948
vsign,10103,6179,9620,11739,9948
vsign,10051,6196,9670,11648,9846
vsign,10025,6196,9720,11678,9820
vsign,10129,6213,9546,11648,9948
vsign,10051,6247,9670,11648,9820
vsign,10051,6196,9645,11739,9846
vsign,10000,6196,9620,11830,9922
vsign,10129,6264,9645,11708,9871
vsign,10287,6230,9695,11800,9922
vsign,10103,6264,9570,11617,9948
vsign,10051,6179,9695,11708,9795
vsign,10103,6230,9670,11617,9897
vsign,10077,6196,9720,11769,9897
vsign,10051,6230,9720,11648,9846
vsign,10129,6196,9670,11648,9846
vsign,10051,6213,9720,11557,9846
vsign,10129,6179,9695,11617,9948
vsign,10077,6179,9871,11557,9871
vsign,10129,6179,9720,11557,10025
vsign,9974,6213,9720,11739,9846
vsign,10234,6213,9770,11617,10129
vsign,10129,6247,9720,11708,9897
vsign,10025,6230,9770,11739,9871
vsign,10000,6196,9670,11557,9974
vsign,10000,6179,9745,11527,9897
vsign,10000,6213,9720,11468,10000
vsign,10129,6315,9820,11708,10025
vsign,10103,6196,8925,11830,9974
vsign,10051,6230,9645,11648,10025
vsign,10077,6196,9897,11648,9922
vsign,10051,6213,9871,11117,9922
vsign,10129,6179,9795,12398,9922
vsign,10156,6162,9770,12111,9948
vsign,10129,6196,9820,11648,9871
vsign,10234,6162,9645,10945,10077
vsign,10051,6196,9720,11800,10025
vsign,10208,6179,9745,11527,10025
vsign,10025,6213,9695,11648,10077
vsign,10025,6145,9820,11708,9897
vsign,9974,6196,9745,11648,9795
vsign,10103,6129,9795,11648,9974
vsign,10156,6129,9745,11617,9922
vsign,10129,6145,9795,11648,9846
vsign,10077,6162,9897,11617,9897
vsign,10129,6162,9871,11648,9974
vsign,10156,6179,9795,11497,10025
vsign,10025,6179,9770,11648,9820
vsign,10051,6213,9745,11708,9897
vsign,10156,6179,9670,11800,9948
vsign,10261,6162,9645,11830,9974
vsign,10000,6145,9871,11527,9871
vsign,9974,6129,9795,11739,9820
vsign,10025,6162,9695,11678,9974
vsign,10051,6162,9670,11678,9948
vsign,10051,6145,9670,11769,10000
vsign,10077,6145,9795,11587,9922
vsign,10234,6129,9720,11678,10103
vsign,10129,6162,9695,11800,9948
vsign,10051,6196,9922,11769,9948
vsign,10077,6145,9695,11708,9846
vsign,10051,6129,9695,11708,9897
vsign,10025,6129,9820,11708,9795
vsign,10051,6162,9897,11497,9871
vsign,10156,6179,9770,11468,9871
vsign,10156,6162,9770,11557,10000
vsign,9922,6196,9770,11648,9795
vsign,10234,6095,9770,11557,10000
vsign,9974,6196,9745,11617,9820
vsign,10103,6129,9820,11739,9974
vsign,10156,6196,9846,11527,9948
vsign,10208,6145,9745,11648,10051
vsign,9974,6179,9820,11739,10502
vsign,9948,6162,9846,11557,9820
vsign,10103,6145,9570,11708,9897
vsign,9922,6162,9795,11739,9795
vsign,10182,6196,9795,11527,10025
vsign,9974,6162,9695,11708,9846
vsign,10051,6145,9620,11739,9948
vsign,10025,6179,9695,11678,9846
vsign,10077,6179,9670,11678,9871
vsign,10129,6162,9595,11678,9922
vsign,10156,6179,9620,11769,9897
vsign,10051,6179,9695,11800,9846
vsign,10000,6196,9695,11648,10287
vsign,10077,6162,9871,11497,9897
vsign,10156,6162,9745,11527,10051
vsign,9974,6179,9745,11678,9745
vsign,10182,6129,9820,11678,10025
vsign,10805,6162,9720,11892,9820
vsign,10000,6162,9695,11527,9974
vsign,10051,6196,9695,11587,9846
vsign,10025,6129,9745,11648,9922
vsign,10077,6162,9795,11587,9922
vsign,10208,6196,9745,11497,10025
vsign,10051,6179,9770,11739,9820
vsign,10000,6145,9795,11527,9846
vsign,10000,6162,9745,11527,9974
vsign,10129,6129,9745,11617,9948
vsign,10129,6129,9846,11557,9922
vsign,10077,6162,9897,11557,9871
vsign,10182,6196,9770,11557,10077
vsign,10000,6179,9695,11648,9948
vsign,10025,6162,10261,11800,9897
vsign,10051,6112,9871,11379,9897
vsign,10077,6129,9720,11587,9922
vsign,9974,6162,9795,11587,9846
vsign,10156,6095,9770,11678,10000
vsign,10025,6179,9695,11739,9871
vsign,10077,6196,9720,11678,9922
vsign,10051,6179,9695,11769,9922
vsign,10051,6162,9695,11739,9922
vsign,10156,6129,9645,11648,9974
vsign,10103,6095,9820,11617,9922
vsign,10156,6095,9795,11678,9974
vsign,10025,6112,9871,11708,9897
vsign,10077,6162,9670,11587,9922
vsign,9974,6162,9670,11648,9846
vsign,10077,6095,9871,11739,9948
vsign,10051,6145,9745,11497,10025
vsign,10103,6145,9670,11678,9922
vsign,10025,6095,9820,11739,9846
vsign,10182,6145,9645,11468,9897
vsign,10103,6095,9770,11708,10000
vsign,10000,6129,9720,11678,9922
vsign,10051,6196,9670,11678,9720
vsign,10000,6129,9795,11587,9871
vsign,10077,6112,9745,11587,9948
vsign,10156,6112,9770,11617,10025
vsign,10077,6145,9720,11830,9922
vsign,9720,6145,9795,11769,9795
vsign,9974,6112,9695,11769,9820
vsign,10156,6145,9745,11527,10051
vsign,9948,6145,9795,11769,9820
vsign,10129,6095,9720,11438,10077
vsign,10051,6179,9745,11739,9922
vsign,10025,6179,9695,11648,9871
vsign,10077,6129,9670,11587,9974
vsign,10129,6129,9720,11557,9974
vsign,10025,6078,9820,11617,9948
vsign,10103,6078,9795,11954,9974
vsign,10025,6145,9720,11587,9897
vsign,10025,6145,9670,11678,9922
vsign,10077,6112,9595,11739,9897
vsign,10000,6145,9645,11557,9897
vsign,9974,6129,9720,11800,9820
vsign,9974,6112,9745,11800,9846
vsign,10129,6129,9770,11617,9974
vsign,10103,6078,9795,11617,10000
vsign,10129,6129,9595,11892,10000
vsign,10077,6145,9846,11617,10000
vsign,10077,6179,9795,11678,9897
vsign,10025,6112,9770,11648,9922
vsign,10156,6129,9670,11408,10000
vsign,10000,6179,9695,11739,9922
vsign,10025,6213,9745,11648,9820
vsign,10000,6112,9820,11557,9897
vsign,10051,6078,9670,11648,9948
vsign,10129,6112,9770,11497,9922
vsign,10103,6112,9922,11497,9922
vsign,10103,6112,9820,11769,10051
vsign,9974,6196,10025,11678,9897
vsign,10051,6129,9720,11617,9897
vsign,10129,6062,9720,11678,10025
vsign,10025,6162,9670,11708,9897
vsign,10103,6112,9720,11923,9948
vsign,10051,6112,9695,11708,10025
vsign,9974,6112,9795,11739,9820
vsign,10156,6095,9770,11617,10025
vsign,10129,6179,9570,11739,10000
vsign,10103,6112,9871,11648,9948
vsign,10182,6112,9770,11678,10051
vsign,9948,6179,9183,11617,9846
vsign,9974,6162,9770,11648,9820
vsign,10129,6179,9897,11587,9948
vsign,10051,6062,9897,11617,9922
vsign,10077,6213,9645,11527,10000
vsign,10051,6230,9745,11648,9846
vsign,10077,6196,9795,11648,9974
vsign,10156,6162,9795,11923,10025
vsign,10000,6196,9820,11557,9871
vsign,10025,6196,9745,11648,9974
vsign,10182,6230,9670,11617,10077
vsign,10051,6315,9670,11617,9974
vsign,10077,6367,9695,11708,10000
vsign,10103,6402,9745,11468,10156
vsign,9974,6350,9770,11557,10025
vsign,10025,6298,9770,11648,10103
vsign,10025,6402,9670,11617,10000
vsign,10077,6350,9770,11557,10156
vsign,10000,6384,9620,11648,10051
vsign,10103,6315,9795,11617,10077
vsign,10077,6384,9645,11708,10051
vsign,9974,6332,9695,11678,10000
vsign,9974,6332,9645,11769,10000
vsign,10051,6350,9570,11708,10000
vsign,10103,6350,9720,11438,10025
vsign,10025,6367,9695,11708,9974
vsign,10051,6315,9645,11800,9570
vsign,10077,6281,9720,11648,9974
vsign,10077,6298,9795,11587,10051
vsign,10051,6350,9670,11648,9922
vsign,10103,6367,9570,11557,10051
vsign,10000,6350,9595,11587,10000
vsign,9974,6264,9745,11648,9948
vsign,10051,6332,9620,11678,9922
vsign,10025,6332,9695,11678,9820
vsign,10025,6367,9922,11587,9974
vsign,10025,6332,9670,11557,9974
vsign,10182,6247,9595,11557,10051
vsign,10025,6332,9620,11527,9922
vsign,10077,6298,9620,11678,10000
vsign,10156,6230,9745,11527,10103
vsign,10025,6315,9720,11739,10025
vsign,10077,6247,9820,11617,10051
vsign,10051,6298,9620,11648,9974
vsign,10051,6281,9645,11648,10000
vsign,10077,6247,9645,11648,10129
vsign,10077,6281,9695,11557,9922
vsign,10156,6196,9645,11587,10025
vsign,10077,6281,9546,11617,9922
vsign,10077,6264,9620,11708,9974
vsign,10077,6298,9645,11769,10025
vsign,10129,6196,9695,11892,10156
vsign,10103,6281,9620,11617,9922
vsign,10103,6179,9745,11678,9974
vsign,10103,6281,9871,11468,9948
vsign,10208,6230,9770,11587,10077
vsign,10051,6281,9620,11769,9897
vsign,10051,6230,9670,11557,9922
vsign,10103,6213,9645,11617,10051
vsign,10051,6230,9645,11617,10025
vsign,10182,6213,9645,11587,10077
vsign,10077,6281,9570,11587,10025
vsign,10156,6213,9670,11468,10103
vsign,10000,6264,9795,11708,10000
vsign,10208,6247,9745,11497,10103
vsign,10077,6264,10077,11708,10025
vsign,10051,6213,9302,11830,9948
vsign,10129,6196,9720,11497,10025
vsign,10025,6247,9645,11557,9897
vsign,10103,6247,9670,11708,9974
vsign,10077,6213,9645,11678,9948
vsign,10077,6196,9770,11468,10000
vsign,9897,6230,9745,11617,9820
